Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AMBA270115C00020000,1/26/2026  9:31 AM,20,48.90,32.50,37.40,0.00,0.00%,1,2,108.84%
AMBA270115C00025000,5/8/2025  10:57 AM,25,30.75,30.00,34.50,0.00,0.00%,1,1,114.26%
AMBA270115C00027500,2/2/2026  3:27 PM,27.5,39.25,26.50,30.30,0.00,0.00%,25,69,88.99%
AMBA270115C00030000,3/6/2026  1:49 PM,30,27.50,0.00,0.00,0.00,0.00%,3,0,0.00%
AMBA270115C00032500,1/30/2026  2:03 PM,32.5,35.67,23.00,26.60,0.00,0.00%,2,308,84.18%
AMBA270115C00035000,2/2/2026  10:21 AM,35,35.17,21.50,25.60,0.00,0.00%,1,15,85.62%
AMBA270115C00037500,1/15/2026  3:30 PM,37.5,33.00,20.00,23.40,0.00,0.00%,2,300,81.79%
AMBA270115C00040000,11/20/2025  2:42 PM,40,49.50,0.00,0.00,0.00,0.00%,2,12,0.00%
AMBA270115C00045000,2/27/2026  10:46 AM,45,22.87,0.00,0.00,0.00,0.00%,8,0,0.00%
AMBA270115C00047500,1/26/2026  3:37 PM,47.5,27.80,14.00,17.10,0.00,0.00%,1,22,72.78%
AMBA270115C00050000,3/9/2026  10:11 AM,50,13.10,0.00,0.00,0.00,0.00%,3,0,0.00%
AMBA270115C00052500,1/22/2026  12:11 PM,52.5,27.60,12.20,15.20,0.00,0.00%,2,6,73.49%
AMBA270115C00055000,3/9/2026  11:39 AM,55,12.04,0.00,0.00,0.00,0.00%,1,0,1.56%
AMBA270115C00057500,2/27/2026  11:25 AM,57.5,16.45,0.00,0.00,0.00,0.00%,3,0,3.13%
AMBA270115C00060000,3/13/2026  11:56 AM,60,10.50,0.00,0.00,0.00,0.00%,1,0,3.13%
AMBA270115C00062500,2/11/2026  2:33 PM,62.5,20.30,0.00,0.00,0.00,0.00%,1,0,6.25%
AMBA270115C00065000,3/10/2026  10:22 AM,65,9.90,0.00,0.00,0.00,0.00%,3,0,6.25%
AMBA270115C00067500,2/27/2026  11:14 AM,67.5,12.40,0.00,0.00,0.00,0.00%,1,0,6.25%
AMBA270115C00070000,3/12/2026  1:24 PM,70,7.58,0.00,0.00,0.00,0.00%,1,0,6.25%
AMBA270115C00072500,3/9/2026  3:20 PM,72.5,7.00,0.00,0.00,0.00,0.00%,16,0,6.25%
AMBA270115C00075000,1/20/2026  12:53 PM,75,16.00,4.70,8.10,0.00,0.00%,30,114,66.75%
AMBA270115C00077500,3/12/2026  11:22 AM,77.5,5.50,0.00,0.00,0.00,0.00%,5,0,12.50%
AMBA270115C00080000,3/12/2026  1:24 PM,80,5.38,0.00,0.00,0.00,0.00%,1,0,12.50%
AMBA270115C00082500,2/26/2026  12:48 PM,82.5,14.00,0.00,0.00,0.00,0.00%,1,0,12.50%
AMBA270115C00085000,2/27/2026  9:34 AM,85,7.50,0.00,0.00,0.00,0.00%,2,0,12.50%
AMBA270115C00087500,2/13/2026  3:25 PM,87.5,11.30,0.00,0.00,0.00,0.00%,2,0,12.50%
AMBA270115C00090000,3/13/2026  10:21 AM,90,4.18,0.00,0.00,0.00,0.00%,1,0,12.50%
AMBA270115C00092500,3/6/2026  3:59 PM,92.5,3.90,0.00,0.00,0.00,0.00%,1,0,12.50%
AMBA270115C00095000,3/11/2026  10:43 AM,95,4.20,0.00,0.00,0.00,0.00%,1,0,12.50%
AMBA270115C00097500,1/14/2026  1:13 PM,97.5,8.10,1.60,4.30,0.00,0.00%,1,2,63.62%
AMBA270115C00100000,3/11/2026  2:29 PM,100,3.57,0.00,0.00,0.00,0.00%,1,0,12.50%
AMBA270115C00105000,1/7/2026  1:25 PM,105,8.90,6.30,9.00,0.00,0.00%,2,97,96.89%
AMBA270115C00110000,3/3/2026  10:06 AM,110,3.45,0.00,0.00,0.00,0.00%,2,0,12.50%
AMBA270115C00115000,3/13/2026  10:21 AM,115,2.02,0.00,0.00,0.00,0.00%,1,0,12.50%
AMBA270115C00120000,3/6/2026  11:14 AM,120,1.65,0.00,0.00,0.00,0.00%,1,0,25.00%
AMBA270115C00130000,1/9/2026  2:00 PM,130,4.85,3.10,6.00,0.00,0.00%,10,41,91.21%
AMBA270115C00135000,1/26/2026  12:43 PM,135,4.55,0.00,3.20,0.00,0.00%,1,1,70.07%
AMBA270115C00140000,3/13/2026  9:45 AM,140,1.00,0.00,0.00,0.00,0.00%,1,0,25.00%
